src,dst
26701846.0,2452466786.0
3387188439.0,525863715.0
3772895061.0,3097543386.0
478367964.0,4696541605.0
3772895061.0,2197894937.0
3271255423.0,3048173406.0
550955977.0,15490439.0
550955977.0,1.0023835244966748e+18
3271255423.0,164705765.0
2425874256.0,9.136261776374661e+17
42685467.0,112061409.0
42685467.0,9.587443347732726e+17
9.620856783422915e+17,8.352906250083369e+17
3271255423.0,7.829900722326733e+17
42685467.0,4384892902.0
3292911462.0,246093638.0
18292048.0,1265464230.0
3271255423.0,190665083.0
7.90019230389248e+17,896187666.0
42685467.0,9.555882387936952e+17
3271255423.0,2250680744.0
42685467.0,46130528.0
3271255423.0,3051400362.0
2425874256.0,7.28420088781652e+17
42685467.0,86378502.0
42685467.0,117630387.0
7.28420088781652e+17,9.043211071127224e+17
42685467.0,4384892902.0
550955977.0,7.28420088781652e+17
8.449607548770591e+17,257097577.0
8.833342309686845e+17,2375536536.0
557250050.0,361003801.0
3271255423.0,256780164.0
2903111283.0,7.972980839146086e+17
42685467.0,4384892902.0
550955977.0,8.336679601873224e+17
42685467.0,8.336679601873224e+17
550955977.0,9.983339695057019e+17
42685467.0,266989727.0
7.90019230389248e+17,9.635087946333553e+17
8.833342309686845e+17,84683811.0
2197834202.0,257097577.0
85155978.0,2903111283.0
4857707848.0,493926139.0
2715841205.0,262715330.0
550955977.0,9.983339695057019e+17
2425874256.0,9.482981430613524e+17
550955977.0,9.983339695057019e+17
42685467.0,52096510.0
42685467.0,18473274.0
550955977.0,9.725870594488689e+17
550955977.0,361003801.0
550955977.0,9.983339695057019e+17
550955977.0,8.352906250083369e+17
550955977.0,423620746.0
550955977.0,1.0679051672095908e+18
2197834202.0,9.555882387936952e+17
42685467.0,1.004888439794303e+18
2197834202.0,1.0113141526845727e+18
8.12532477055144e+17,3097543386.0
550955977.0,8.352906250083369e+17
426321629.0,7.218118631057736e+17
4058164453.0,86378502.0
361003801.0,9.537874604457206e+17
8.239612649886188e+17,7.979450204059238e+17
293631912.0,117630387.0
24544802.0,2860908597.0
257097577.0,121920322.0
3415287255.0,1689912313.0
3772895061.0,256780164.0
67896980.0,82616432.0
3772895061.0,86378502.0
133005157.0,211990186.0
87562484.0,7.551274957756252e+17
237140311.0,382973958.0
45641358.0,7.025198003633603e+17
1578095880.0,173514323.0
2873973494.0,3682560615.0
40708919.0,4418684392.0
8.058633438945239e+17,8.349906490279977e+17
1578095880.0,7.428269330758779e+17
24448366.0,3870745634.0
2790442199.0,7.801908275071017e+17
3772895061.0,4337549712.0
2841714842.0,86378502.0
2790442199.0,8.482692028927836e+17
70320954.0,193589482.0
3772895061.0,28277850.0
114770420.0,4418684392.0
3772895061.0,7.428148233402532e+17
3772895061.0,3707671576.0
1009562940.0,765213068.0
3387188439.0,274347607.0
2614121611.0,853185504.0
3387188439.0,274347607.0
3387188439.0,54935632.0
3772895061.0,550487203.0
3387188439.0,1581128899.0
3387188439.0,7.653821887874376e+17
8.058633438945239e+17,7.092808914202788e+17
133005157.0,8.021495278725038e+17
24544802.0,8.728498883288269e+17
133005157.0,1460884393.0
480500298.0,40708919.0
8.239612649886188e+17,2877712525.0
133005157.0,2575759197.0
98261204.0,7.972980839146086e+17
24544802.0,7.036621966817894e+17
