src,dst
8.066952579161825e+17,2245087139.0
3401254649.0,8.165234063927091e+17
27051634.0,4521330855.0
8.066952579161825e+17,7.5215570221534e+17
275276082.0,41830267.0
275276082.0,17148456.0
275276082.0,7.523590893389988e+17
7.110043505130947e+17,425418920.0
634330366.0,18067164.0
634330366.0,928755127.0
3291556676.0,887373558.0
3291556676.0,7.856455773462569e+17
634330366.0,8.193971239428751e+17
3481965513.0,4875483489.0
7.891139161021809e+17,461426400.0
1655766132.0,4865974714.0
8.12454149912662e+17,7.023164424740127e+17
98416337.0,4865974714.0
3481965513.0,3435638633.0
330121407.0,3997870336.0
3291556676.0,3317055925.0
256481089.0,7.126900512016957e+17
125128428.0,8.793790211458417e+17
1493843796.0,2192887524.0
3291556676.0,2247787315.0
3401254649.0,2348358406.0
3947091915.0,2652435918.0
3291556676.0,1305192181.0
3481965513.0,7.805128995046687e+17
634330366.0,1718901722.0
2262620679.0,360386911.0
634330366.0,46455464.0
7.891139161021809e+17,4100312963.0
3291556676.0,7.813468504734392e+17
3291556676.0,8.330651540277535e+17
3291556676.0,8.207651303214899e+17
3481965513.0,2991153401.0
14189931.0,4457518527.0
3291556676.0,887373558.0
3291556676.0,527009772.0
7.838292218063135e+17,3247188550.0
1193212386.0,81438841.0
125128428.0,223989188.0
7.334219307121623e+17,336313972.0
3260501809.0,466244714.0
7.126900512016957e+17,2732987812.0
81438841.0,851059680.0
46455464.0,353996180.0
46455464.0,4521330855.0
46455464.0,3997870336.0
81438841.0,522377082.0
46455464.0,4521330855.0
19043568.0,915137490.0
46455464.0,285489489.0
46455464.0,4521330855.0
7.891139161021809e+17,2178882809.0
3260501809.0,7.482534120646369e+17
18557659.0,32712105.0
8.066952579161825e+17,3628257623.0
1493843796.0,102083912.0
19043568.0,60468824.0
7.334219307121623e+17,4865974714.0
3947091915.0,360694503.0
281537076.0,851059680.0
8.262089432611676e+17,8.737537216661258e+17
8.262089432611676e+17,851059680.0
3291556676.0,283664467.0
98416337.0,1655766132.0
1655766132.0,98416337.0
8.066952579161825e+17,348323009.0
3481965513.0,179250417.0
256481089.0,7.910926518984458e+17
